ticker,name,underlying_asset,underlying_ticker,leverage,direction
EVAV,Direxion Daily Electric and Autonomous Vehicles Bull 2X Shares,Indxx US Electric and Autonomous Vehicles Index,,2x,long
EWV,ProShares UltraShort MSCI Japan,MSCI Japan Index,MXJP,2x,short
EZJ,ProShares Ultra MSCI Japan,MSCI Japan Index,MXJP,2x,long
FAS,Direxion Daily Financial Bull 3x Shares,S&P Financial Select Sector,,3x,long
FAZ,Direxion Daily Financial Bear 3x Shares,S&P Financial Select Sector,,3x,short
FBL,GraniteShares 2x Long Meta ETF,Meta Platforms Inc,META,2x,long
FBYY,GraniteShares YieldBOOST META ETF,2x Long META Daily ETF,,variable,long
FDRX,Founder-Led 2X Daily ETF,Founder-Led Index,,2x,long
FIAT,YieldMax Short COIN Option Income Strategy ETF,Coinbase Global Inc,COIN,variable,short
FIGG,Leverage Shares 2x Long FIG Daily ETF,"Figma, Inc.",FIG,2x,long
FLAT,iPath US Treasury Flattener ETN,U.S. Treasuries,UST,,
FLYD,MicroSectors Travel -3x Inverse Leveraged ETN,MerQube MicroSectors U.S. Travel Index,,3x,short
FLYT,Tradr 2X Long FLY Daily ETF,"Firefly Aerospace, Inc",FLY,2x,long
FLYU,MicroSectors Travel 3x Leveraged ETN,MerQube MicroSectors U.S. Travel Index,,3x,
FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged Exchange Traded Note,NYSE FANG+ Index,,3x,short
FNGG,Direxion Daily NYSE FANG+ Bull 2X Shares,NYSE FANG+ Index,,2x,long
FNGO,MicroSectors FANG+ Index 2X Leveraged ETNs,NYSE FANG+ Index,,2x,long
FNGU,MicroSectors FANG+ Index 3X Leveraged ETN,NYSE FANG+ Index,,3x,long
FRDD,Direxion Daily F Bear 1X ETF,Ford Motor,F,1x,short
FRDU,Direxion Daily F Bull 2X ETF,Ford Motor Company,,2x,long
FUTG,Leverage Shares 2x Long FUTU Daily ETF,Futu Holdings ADR,FUTU,2x,long
FXP,ProShares UltraShort FTSE China 50,FTSE China 50 Index,XIN0I,2x,short
GASL,Direxion Daily Natural Gas Related Bull 3X Shares,Bloomberg Natural Gas Subindex,NG,3x,long
GASX,Direxion Daily Natural Gas Related Bear 3X Shares,Bloomberg Natural Gas Subindex,NG,3x,short
GDXD,MicroSectors Gold Miners -3X Inverse Leveraged ETNs,NYSE Arca Gold Miners Index,GDM,3x,short
GDXU,MicroSectors Gold Miners 3X Leveraged Exchange-Traded Notes,NYSE Arca Gold Miners Index,GDM,3x,long
GDXW,Roundhill Gold Miners WeeklyPay ETF,VanEck Gold Miners ETF,GDX,1.2x,long
GEMG,Leverage Shares 2X Long GEMI Daily ETF,Gemini Space,GEMI,2x,long
GEVG,Leverage Shares 2X Long GEV Daily ETF,"GE Vernova, Inc",GEV,2x,long
GEVX,Tradr 2X Long GEV Daily ETF,"GE Vernova, Inc",GEV,2x,long
GGLL,Direxion Daily GOOGL Bull 2x Shares,Alphabet Inc,GOOGL,2x,long
GGLS,Direxion Daily GOOGL Bear 1X Shares,Alphabet Inc,GOOGL,1x,short
GLDW,Roundhill Gold WeeklyPay ETF,SPDR Gold Trust,GLD,1.2x,long
GLGG,Leverage Shares 2x Long GLXY Daily ETF,Galaxy Digital,GLXY,2x,long
GLL,ProShares UltraShort Gold,Bloomberg Gold Subindex,BCOMGC,2x,short
GLXU,T-REX 2X Long GLXY Daily Target ETF,Galaxy Digital Holdings Ltd.,GLXY,2x,long
GMEU,T-REX 2X Long GME Daily Target ETF,GameStop Corp.,GME,2x,long
GMMA,GammaRoad Market Navigation ETF,,,2x,
GOOW,GOOGL WeeklyPayâ¢ ETF,Alphabet Inc,GOOGL,1.2x,long
GOOX,T-Rex 2x LNG Alphabet Daily,Alphabet Inc,GOOGL,2x,long
GOU,GraniteShares 2x Long GOOGL Daily ETF,Alphabet Inc,GOOGL,2x,long
GRAG,Leverage Shares 2X Long GRAB Daily ETF,Grab Holdings Ltd,GRAB,2x,long
GSX,Tradr 2X Long GS Daily ETF,"Goldman Sachs Group, Inc",GS,2x,long
GUSH,Direxion Daily S&P Oil & Gas Exploration & Production Bull 2X Shares,WTI Crude Oil,CL,2x,long
HCMT,Direxion HCM Tactical Enhanced US ETF,,,2x,long
HDGE,AdvisorShares Ranger Equity Bear ETF,short sales of domestically traded equity securities,,,short
HDLB,ETRACS Monthly Pay 2xLeveraged US High Dividend Low Volatility ETN Series B,Solactive US High Dividend Low Volatility Index,SOLHDLV,2x,long
HIBL,Direxion Daily S&P 500 High Beta Bull 3X Shares,S&P 500 Index,SPX,3x,long
HIBS,Direxion Daily S&P 500 High Beta Bear 3X Shares,S&P 500 Index,SPX,3x,short
HIMY,Defiance Leveraged Long + Income HIMS ETF,,HIMS,1.5x,long
HIMZ,Defiance Daily Target 2X Long HIMS ETF,"Hims & Hers Health, Inc.",HIMS,2x,long
HMYY,GraniteShares YieldBoost HIMS ETF,"Hims & Hers Health, Inc.",HIMS,variable,long
HODU,Direxion Daily HOOD Bull 2X ETF,"Robinhood Markets, Inc.",HOOD,2x,long
HOLD,Harbor Alpha Layering ETF,,,,
HOML,UBS ETRACS Monthly Reset 2x Leveraged ISE Exclusively Homebuilders ETN,,,2x,long
HOOG,Leverage Shares 2x Long HOOD Daily ETF,Robinhood Markets Inc.,HOOD,2x,long
HOOI,Defiance Leveraged Long + Income HOOD ETF,Robinhood Markets Inc.,HOOD,1.5x,long
HOOW,Roundhill HOOD WeeklyPay ETF,Robinhood Markets Inc.,HOOD,1.2x,long
HOOX,Defiance Daily Target 2X Long HOOD ETF,Robinhood Markets Inc.,HOOD,2x,long
HOOZ,Defiance Daily Target 2X Short HOOD ETF,Robinhood Markets Inc.,HOOD,2x,short
HOYY,GRANITESHARES YIELDBOOST HOOD ETF,Robinhood Markets Inc.,HOOD,variable,long
HUTG,Leverage Shares 2X Long HUT Daily ETF,Hut 8 Corp,HUT,2x,long
HYDD,Direxion Daily High Yield Bear 2X Shares,Markit iBoxx USD Liquid High Yield Index,HYG,2x,short
INDL,Direxion Daily MSCI India Bull 2X Shares,MSCI India,,2x,long
INTW,GraniteShares 2x Long INTC Daily ETF,Intel Corporation,INTC,2x,long
IONL,GraniteShares 2x Long IONQ Daily ETF,IonQ Inc.,IONQ,2x,long
IONX,Defiance Daily Target 2X Long IONQ ETF,IONQ,IONQ,2x,long
IONZ,Defiance Daily Target 2X Short IONQ ETF,IonQ Inc. (IONQ),,2x,short
IOYY,GraniteShares YieldBOOST IONQ ETF,IonQ Inc. (selling put options on 2x Long IONQ Daily ETF),IONQ,variable,long
IRE,Defiance Daily Target 2X Long IREN ETF,IREN Limited,IREN,2x,long
IREG,Leverage Shares 2X Long IREN Daily ETF,IREN Limited,IREN,2x,long
IREX,Tradr 2X Long IREN Daily ETF,IREN Limited,IREN,2x,long
IREZ,Tradr 2X Short IREN Daily ETF,IREN Limited,IREN,2x,short
ISBG,IncomeSTKd 1x Bitcoin & 1x Gold Premium ETF,Bitcoin + Gold,,2x,long
ISSB,IncomeSTKd 1x US Stocks & 1x Bitcoin Premium ETF,US Stocks + Bitcoin,,2x,long
ISUL,GraniteShares 2x Long ISRG Daily ETF,"Intuitive Surgical, Inc",ISRG,2x,long
IWDL,ETRACS 2x Leveraged US Value Factor TR ETN,Russell 1000 Value TR USD Index,RU10VATR,2x,long
IWFL,ETRACS 2x Leveraged US Growth Factor TR ETN,Russell 1000 Growth TR USD Index,RU10GRTR,2x,long
IWML,ETRACS 2x Leveraged US Size Factor TR ETN,Russell 2000 TR USD Index,RU20INTR,2x,long
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,NYSE Arca Gold Miners Index,GDM,2x,short
JEIAF,JPMORGAN ETFS (IRELAND) ICAV US EQ PREMIUM INC ACT UCITS ETF USD ACC,,,,
JETD,MAX Airlines -3X Inverse Leveraged ETNs,Prime Airlines Index - Benchmark TR Net,,3x,short
JETU,MAX Airlines 3X Leveraged ETNs,Prime Airlines Index - Benchmark TR Net,,3x,
JNUG,Direxion Daily Junior Gold Miners Index Bull 2X Shares,NYSE Arca Gold Miners Index,GDM,2x,long
JOBX,Tradr 2X Long JOBY Daily ETF,"Joby Aviation, Inc",JOBY,2x,long
JPUQF,JPMORGAN ETFS (IRELAND) ICAV US EQ PREMIUM INC ACT UCITS ETF USD DIS,,,2x,
JPX,Defiance Daily Target 2X Long JPM ETF,,JPM,2x,long
KBAB,KraneShares 2x Long BABA Daily ETF,Alibaba Group Holding Limited ADR,BABA,2x,long
KBDU,KraneShares 2x Long BIDU Daily ETF,Baidu (ADR),BIDU,2x,long
KGLD,Kurv Gold Enhanced Income ETF,Gold ETPs,,variable,long
KJD,KraneShares 2x Long JD Daily ETF,"JD.com, Inc ADR",JD,2x,long
KLAG,Leverage Shares 2x Long KLAC Daily ETF,KLA Corporation,KLAC,2x,long
KMLI,KraneShares 2x Long MELI Daily ETF,"MercadoLibre, Inc.",,2x,long
KOLD,ProShares UltraShort Bloomberg Natural Gas,Bloomberg Natural Gas Subindex,BCOMNG,2x,short
KORU,Direxion Daily South Korea Bull 3x Shares,MSCI Korea 25-50,,3x,long
KPDD,KraneShares 2x Long PDD Daily ETF,PDD Holdings Inc,,2x,long
KSLV,Kurv Silver Enhanced Income ETF,Silver ETPs,,variable,long
KTUP,T-REX 2X Long KTOS Daily Target ETF,"Kratos Defense & Security Solutions, Inc",KTOS,2x,long
LABD,Direxion Daily S&P Biotech Bear 3X Shares,S&P Biotechnology Select Industry,,3x,short
LABU,Direxion Daily S&P Biotech Bull 3X Shares,S&P Biotechnology Select Industry,,3x,long
LABX,Tradr 2X Long ALAB Daily ETF,Astera Labs stock,ALAB,2x,long
LACG,Leverage Shares 2X Long LAC Daily ETF,Lithium Americas Corp,LAC,2x,long
LAYS,STKd 100% NVDA & 100% AMD ETF,NVIDIA Corp and Advanced Micro Devices,,2x,long
LCDL,GraniteShares 2x Long LCID Daily ETF,Lucid Group Inc.,LCID,2x,long
LCIZ,Tradr 2X Short LCID Daily ETF,Lucid Group Inc.,LCID,2x,short
LINT,Direxion Daily INTC Bull 2X ETF,Intel Corporation,INTC,2x,long
LITX,Tradr 2X Long LITE Daily ETF,Lumentum Holdings Inc,LITE,2x,long
LLYX,Defiance Daily Target 2X Long LLY ETF,Eli Lilly and Company,LLY,2x,long
LLYZ,DEFIANCE DAILY TARGET 2X SHORT LLY ETF,,,2x,short
LMBO,Direxion Daily Crypto Industry Bull 2X Shares,Solactive Distributed Ledger & Decentralized Payment Tech Index,,2x,long
LMNX,DEFIANCE DAILY TARGET 2X LONG LMND ETF,"Lemonade, Inc.",LMND,2x,long
LMTL,Direxion Daily LMT Bull 2X ETF,Lockheed Martin Corporation,LMT,2x,long
LMTS,Direxion Daily LMT Bear 1X ETF,Lockheed Martin Corporation,LMT,1x,short
LNOK,Defiance Daily Target 2X Long NOK ETF,Nokia Oyj Sponsored ADR,NOK,2x,long
LRCU,Tradr 2X Long LRCX Daily ETF,Lam Research Corp.,LRCX,2x,long
